Investor Name,Number of Company
Susquehanna Growth Equity,3
East Ventures,1
Expedia Inc.,1
Morningside Ventures,2
CreditEase Fintech Investment Fund,2
CPP Investment Board,1
Digital Currency Group,2
Holtzbrinck Ventures,2
Unternehmertum Venture Capital,1
Artiman Ventures,2
Plug and Play Ventures,2
Sequoia Capital Israel,2
Scale Venture Partners,7
OpenView Venture Partners,2
ConsenSys Ventures,1
PUC,1
Cambridge Innovation Capital,1
LGT Capital Partners,1
Escala Capital,1
Spectrum Equity,2
Grayhawk Capital,1
Iconiq Capital,1
Brookfield Asset Management,1
Data Collective,6
Balderton Capital,7
Uncork Capital,5
Jackson Square Ventures,4
Atlantic Food Labs,1
Fabric Ventures,2
500 Global,2
Standard Crypto,1
Uniion Square Ventures,1
Lightspeed Venture Capital,1
Jump Capital,6
Pitango Venture Capital,7
BMO Capital,1
Schonfeld Strategic Advisors,1
Green Visor Capital,1
CRE Venture Capital,2
Tiger Brokers,1
Bnk To The Future,1
Trammell Ventures,1
SBI Investment,2
Quantum Energy Partners,1
Bedrock Capital,2
Monashees+,6
QED Investors,8
BEENEXT,3
Puluo Capital,1
Midea Capital,1
Point72 Ventures,3
Route 66 Ventures,1
Portag3 Ventures,1
Blue Lake Capital,1
MidOcean Partners,1
Javelin Venture Partners,3
Makers Fund,1
Inova Ventures Participacees,1
Vintage Investment Partners,2
HD Capital,1
Qihoo 360 Technology,1
China Fortune Land Development,1
Notion Capital,2
Scentan Ventures,1
Kite Ventures,1
Goldman Sachs Asset Management,4
Forest Partners,1
Softbank Ventures Asia,2
British Patient Capital,1
SEB Venture Capital,1
IQ Capital,1
Motive Partners,1
Piton Capital,1
Partech Partners,3
Goldcrest Capital,1
Contour Venture Partners,2
Core Capital Partners,1
Liberty Gloval Ventures,1
Jungle Ventures,3
Vertex Ventures Israel,1
Emerge,1
JD.com,1
Vision Plus Capital,3
Foundry Group,4
Big Bets,1
SOFTBANK Latin America Ventures,1
Lifeline Ventures,1
MSD Capital,1
BMW i Ventures,4
BHP Ventures,1
Rhone Capital,1
FAW Group,1
Tus Holdings,1
Coatue Managemeny,1
The Rise Fund,2
HarbourVest Partners,1
Aspect Ventures,2
SingTel Innov8,2
Bain Capital Ventures,15
Kae Capital,1
March Capital Partners,4
National Grid Partners,1
The Blue Venture Fund,1
Flare Capital Partners,1
Longitude Capital,1
AirTree Ventures,2
Neuberger Berman,1
